date,hour,campaign_name,daily_budget,impressions,clicks,spend,orders,revenue,ctr,cvr,cpc,acos,roas
10/21/25,2,Campaign_B,25,1495,33,48.26,3,78.05,0.0221,0.0909,1.46,0.618,1.617
10/21/25,2,Campaign_C,15,698,14,10.9,0,0,0.0201,0,0.78,,0
10/21/25,2,Campaign_D,10,1707,27,15.68,1,36.06,0.0158,0.037,0.58,0.435,2.3
10/21/25,2,Campaign_E,20,197,2,1.3,0,0,0.0102,0,0.65,,0
10/21/25,2,Campaign_F,25,1955,10,11.45,0,0,0.0051,0,1.15,,0
10/21/25,2,Campaign_G,5,1959,28,23.55,0,0,0.0143,0,0.84,,0
10/21/25,2,Campaign_H,10,2198,40,27,4,100.87,0.0182,0.1,0.67,0.268,3.736
10/21/25,2,Campaign_I,10,1327,38,26.17,5,184.67,0.0286,0.1316,0.69,0.142,7.057
10/21/25,2,Campaign_J,10,403,10,5.84,0,0,0.0248,0,0.58,,0
10/21/25,3,Campaign_A,20,1445,31,44.64,2,52.21,0.0215,0.0645,1.44,0.855,1.17
10/21/25,3,Campaign_B,25,956,10,8.25,1,36.98,0.0105,0.1,0.83,0.223,4.482
10/21/25,3,Campaign_C,15,400,5,5.68,0,0,0.0125,0,1.14,,0
10/21/25,3,Campaign_D,10,562,15,15.04,1,23.9,0.0267,0.0667,1,0.629,1.589
10/21/25,3,Campaign_E,20,815,0,0,0,0,0,0,0,,
10/21/25,3,Campaign_F,25,16,0,0,0,0,0,0,0,,
10/21/25,3,Campaign_G,5,2146,50,52.64,8,172.06,0.0233,0.16,1.05,0.306,3.269
10/21/25,3,Campaign_H,10,2300,33,22.09,5,169.6,0.0143,0.1515,0.67,0.13,7.678
10/21/25,3,Campaign_I,10,1895,12,10.3,0,0,0.0063,0,0.86,,0
10/21/25,3,Campaign_J,10,245,3,3.93,0,0,0.0122,0,1.31,,0
10/21/25,4,Campaign_A,20,35,0,0,0,0,0,0,0,,
10/21/25,4,Campaign_B,25,0,2,2.16,0,0,0,0,1.08,,0
10/21/25,4,Campaign_C,15,574,16,12,0,0,0.0279,0,0.75,,0
10/21/25,4,Campaign_D,10,1077,19,14.66,1,36.84,0.0176,0.0526,0.77,0.398,2.513
10/21/25,4,Campaign_E,20,991,18,22.07,1,26.46,0.0182,0.0556,1.23,0.834,1.199
10/21/25,4,Campaign_F,25,656,9,6.76,0,0,0.0137,0,0.75,,0
10/21/25,4,Campaign_G,5,1853,47,31.64,0,0,0.0254,0,0.67,,0
10/21/25,4,Campaign_H,10,1119,20,15.6,2,62.17,0.0179,0.1,0.78,0.251,3.985
10/21/25,4,Campaign_I,10,2294,14,8.68,0,0,0.0061,0,0.62,,0
10/21/25,4,Campaign_J,10,2141,56,33.48,5,117.32,0.0262,0.0893,0.6,0.285,3.504
10/21/25,5,Campaign_A,20,1757,0,0,0,0,0,0,0,,
10/21/25,5,Campaign_B,25,2489,43,47.98,7,261.41,0.0173,0.1628,1.12,0.184,5.448
10/21/25,5,Campaign_C,15,2207,62,70.88,6,232.98,0.0281,0.0968,1.14,0.304,3.287
10/21/25,5,Campaign_D,10,1440,30,21.44,1,32.37,0.0208,0.0333,0.71,0.662,1.51
10/21/25,5,Campaign_E,20,0,1,1.31,0,0,0,0,1.31,,0
10/21/25,5,Campaign_F,25,1516,0,0,0,0,0,0,0,,
10/21/25,5,Campaign_G,5,675,6,8.94,0,0,0.0089,0,1.49,,0
10/21/25,5,Campaign_H,10,1687,45,53.09,2,55.11,0.0267,0.0444,1.18,0.963,1.038
10/21/25,5,Campaign_I,10,2109,36,21.6,0,0,0.0171,0,0.6,,0
10/21/25,5,Campaign_J,10,2492,0,0,0,0,0,0,0,,
10/21/25,6,Campaign_A,20,717,15,8.75,0,0,0.0209,0,0.58,,0
10/21/25,6,Campaign_B,25,395,5,6.46,0,0,0.0127,0,1.29,,0
10/21/25,6,Campaign_C,15,2445,45,38.29,0,0,0.0184,0,0.85,,0
10/21/25,6,Campaign_D,10,953,0,0,0,0,0,0,0,,
10/21/25,6,Campaign_E,20,1676,17,10.99,1,31.63,0.0101,0.0588,0.65,0.347,2.878
10/21/25,6,Campaign_F,25,1388,19,28.23,1,21.67,0.0137,0.0526,1.49,1.303,0.768
10/21/25,6,Campaign_G,5,2492,36,29.89,2,56.21,0.0144,0.0556,0.83,0.532,1.881
10/21/25,6,Campaign_H,10,1081,25,31.11,1,28,0.0231,0.04,1.24,1.111,0.9
10/21/25,6,Campaign_I,10,1531,18,26.34,0,0,0.0118,0,1.46,,0
10/21/25,6,Campaign_J,10,2220,13,19.41,0,0,0.0059,0,1.49,,0
10/21/25,7,Campaign_A,20,1250,0,0,0,0,0,0,0,,
10/21/25,7,Campaign_B,25,1549,19,16.8,3,117.52,0.0123,0.1579,0.88,0.143,6.995
10/21/25,7,Campaign_C,15,967,0,0,0,0,0,0,0,,
10/21/25,7,Campaign_D,10,1145,11,11.92,0,0,0.0096,0,1.08,,0
10/21/25,7,Campaign_E,20,0,0,0,0,0,0,0,0,,
10/21/25,7,Campaign_F,25,1224,15,9.94,2,77.99,0.0123,0.1333,0.66,0.127,7.846
10/21/25,7,Campaign_G,5,255,4,5.51,0,0,0.0157,0,1.38,,0
10/21/25,7,Campaign_H,10,373,9,9.85,1,36.84,0.0241,0.1111,1.09,0.267,3.74
10/21/25,7,Campaign_I,10,1484,0,0,0,0,0,0,0,,
10/21/25,7,Campaign_J,10,404,2,3,0,0,0.005,0,1.5,,0
10/21/25,8,Campaign_A,20,713,18,11.32,2,49.15,0.0252,0.1111,0.63,0.23,4.342
10/21/25,8,Campaign_B,25,880,0,0,0,0,0,0,0,,
10/21/25,8,Campaign_C,15,1574,34,34.69,3,93.66,0.0216,0.0882,1.02,0.37,2.7
10/21/25,8,Campaign_D,10,0,0,0,0,0,0,0,0,,
10/21/25,8,Campaign_E,20,1252,25,15.91,0,0,0.02,0,0.64,,0
10/21/25,8,Campaign_F,25,1329,26,36.51,2,71.35,0.0196,0.0769,1.4,0.512,1.954
10/21/25,8,Campaign_G,5,1019,12,15.56,1,35.38,0.0118,0.0833,1.3,0.44,2.274
10/21/25,8,Campaign_H,10,1875,30,24.86,1,21.52,0.016,0.0333,0.83,1.155,0.866
10/21/25,8,Campaign_I,10,760,12,14.37,0,0,0.0158,0,1.2,,0
10/21/25,8,Campaign_J,10,1719,26,38.3,1,36.44,0.0151,0.0385,1.47,1.051,0.951
10/21/25,9,Campaign_A,20,1489,17,10.55,1,27.29,0.0114,0.0588,0.62,0.387,2.587
10/21/25,9,Campaign_B,25,1101,14,13.74,1,23.14,0.0127,0.0714,0.98,0.594,1.684
10/21/25,9,Campaign_C,15,47,0,0,0,0,0,0,0,,
10/21/25,9,Campaign_D,10,624,12,17.09,1,30.63,0.0192,0.0833,1.42,0.558,1.792
10/21/25,9,Campaign_E,20,364,0,0,0,0,0,0,0,,
10/21/25,9,Campaign_F,25,1026,28,17,3,74.55,0.0273,0.1071,0.61,0.228,4.385
10/21/25,9,Campaign_G,5,1654,0,0,0,0,0,0,0,,
10/21/25,9,Campaign_H,10,1254,9,7.59,0,0,0.0072,0,0.84,,0
10/21/25,9,Campaign_I,10,1169,8,9.96,0,0,0.0068,0,1.25,,0
10/21/25,9,Campaign_J,10,1541,42,41.93,7,141.05,0.0273,0.1667,1,0.297,3.364
10/21/25,10,Campaign_A,20,2324,20,13.73,1,37.94,0.0086,0.05,0.69,0.362,2.763
10/21/25,10,Campaign_B,25,758,0,0,0,0,0,0,0,,
10/21/25,10,Campaign_C,15,919,7,9.56,0,0,0.0076,0,1.37,,0
10/21/25,10,Campaign_D,10,946,24,23.44,1,39.36,0.0254,0.0417,0.98,0.596,1.679
10/21/25,10,Campaign_E,20,1810,18,21.73,0,0,0.0099,0,1.21,,0
10/21/25,10,Campaign_F,25,2026,40,41.94,2,67.38,0.0197,0.05,1.05,0.622,1.607
10/21/25,10,Campaign_G,5,1619,18,19.72,1,26.98,0.0111,0.0556,1.1,0.731,1.368
10/21/25,10,Campaign_H,10,1604,41,50.47,2,42.66,0.0256,0.0488,1.23,1.183,0.845
10/21/25,10,Campaign_I,10,1319,0,0,0,0,0,0,0,,
10/21/25,10,Campaign_J,10,872,20,13.73,2,76.31,0.0229,0.1,0.69,0.18,5.558
10/21/25,11,Campaign_A,20,600,16,15.03,1,26.03,0.0267,0.0625,0.94,0.577,1.732
10/21/25,11,Campaign_B,25,1046,16,14.26,0,0,0.0153,0,0.89,,0
10/21/25,11,Campaign_C,15,1970,31,37.01,0,0,0.0157,0,1.19,,0
10/21/25,11,Campaign_D,10,1646,33,42.52,0,0,0.02,0,1.29,,0
10/21/25,11,Campaign_E,20,1120,25,17.61,2,70.19,0.0223,0.08,0.7,0.251,3.986
10/21/25,11,Campaign_F,25,1141,0,0,0,0,0,0,0,,
10/21/25,11,Campaign_G,5,2263,45,44.39,6,121.46,0.0199,0.1333,0.99,0.365,2.736
10/21/25,11,Campaign_H,10,1955,36,24.54,4,112.07,0.0184,0.1111,0.68,0.219,4.567
10/21/25,11,Campaign_I,10,814,9,5.75,0,0,0.0111,0,0.64,,0
10/21/25,11,Campaign_J,10,1639,43,51.46,5,115.25,0.0262,0.1163,1.2,0.447,2.24
10/21/25,12,Campaign_A,20,603,0,0,0,0,0,0,0,,
10/21/25,12,Campaign_B,25,1430,11,7.55,0,0,0.0077,0,0.69,,0
10/21/25,12,Campaign_C,15,2418,47,39.25,1,26.67,0.0194,0.0213,0.84,1.472,0.679
10/21/25,12,Campaign_D,10,574,8,7.73,1,31.74,0.0139,0.125,0.97,0.244,4.106
10/21/25,12,Campaign_E,20,954,0,0,0,0,0,0,0,,
10/21/25,12,Campaign_F,25,1990,0,0,0,0,0,0,0,,
10/21/25,12,Campaign_G,5,0,5,5.82,0,0,0,0,1.16,,0
10/21/25,12,Campaign_H,10,1107,18,18.63,0,0,0.0163,0,1.04,,0
10/21/25,12,Campaign_I,10,326,0,0,0,0,0,0,0,,
10/21/25,12,Campaign_J,10,951,26,13.95,2,42.63,0.0273,0.0769,0.54,0.327,3.056
10/21/25,13,Campaign_A,20,1394,22,19.82,1,23.64,0.0158,0.0455,0.9,0.838,1.193
10/21/25,13,Campaign_B,25,54,1,1.14,0,0,0.0185,0,1.14,,0
10/21/25,13,Campaign_C,15,1201,32,24.12,0,0,0.0266,0,0.75,,0
10/21/25,13,Campaign_D,10,1790,0,0,0,0,0,0,0,,
10/21/25,13,Campaign_E,20,1287,9,12.2,0,0,0.007,0,1.36,,0
10/21/25,13,Campaign_F,25,0,11,6.44,0,0,0,0,0.59,,0
10/21/25,13,Campaign_G,5,1571,33,37.12,5,136.31,0.021,0.1515,1.12,0.272,3.672
10/21/25,13,Campaign_H,10,395,10,8.63,0,0,0.0253,0,0.86,,0
10/21/25,13,Campaign_I,10,1387,11,15.34,1,20.45,0.0079,0.0909,1.39,0.75,1.333
10/21/25,13,Campaign_J,10,520,9,5.75,1,30.51,0.0173,0.1111,0.64,0.188,5.306
10/21/25,14,Campaign_A,20,804,4,4.31,0,0,0.005,0,1.08,,0
10/21/25,14,Campaign_B,25,1401,0,0,0,0,0,0,0,,
10/21/25,14,Campaign_C,15,2074,57,62.73,3,114.86,0.0275,0.0526,1.1,0.546,1.831
10/21/25,14,Campaign_D,10,701,0,0,0,0,0,0,0,,
10/21/25,14,Campaign_E,20,1386,0,0,0,0,0,0,0,,
10/21/25,14,Campaign_F,25,28,0,0,0,0,0,0,0,,
10/21/25,14,Campaign_G,5,1136,26,23.31,1,29.68,0.0229,0.0385,0.9,0.785,1.273
10/21/25,14,Campaign_H,10,1785,10,5.51,1,26.68,0.0056,0.1,0.55,0.207,4.842
10/21/25,14,Campaign_I,10,153,2,1.83,0,0,0.0131,0,0.91,,0
10/21/25,14,Campaign_J,10,130,0,0,0,0,0,0,0,,
10/21/25,15,Campaign_A,20,101,1,1.42,0,0,0.0099,0,1.42,,0
10/21/25,15,Campaign_B,25,329,7,10.21,0,0,0.0213,0,1.46,,0
10/21/25,15,Campaign_C,15,1508,33,32.65,5,194.41,0.0219,0.1515,0.99,0.168,5.954
10/21/25,15,Campaign_D,10,46,0,0,0,0,0,0,0,,
10/21/25,15,Campaign_E,20,0,34,40.71,5,197.11,0,0.1471,1.2,0.207,4.842
10/21/25,15,Campaign_F,25,726,18,17.19,2,66.01,0.0248,0.1111,0.96,0.26,3.84
10/21/25,15,Campaign_G,5,2235,38,35.76,4,144.32,0.017,0.1053,0.94,0.248,4.036
10/21/25,15,Campaign_H,10,1372,29,26.88,2,58.48,0.0211,0.069,0.93,0.46,2.176
10/21/25,15,Campaign_I,10,545,3,4.32,0,0,0.0055,0,1.44,,0
10/21/25,15,Campaign_J,10,957,0,0,0,0,0,0,0,,
10/21/25,16,Campaign_A,20,271,7,6.42,0,0,0.0258,0,0.92,,0
10/21/25,16,Campaign_B,25,2050,34,41.33,2,76.41,0.0166,0.0588,1.22,0.541,1.849
10/21/25,16,Campaign_C,15,1998,31,22.27,4,87.15,0.0155,0.129,0.72,0.256,3.913
10/21/25,16,Campaign_D,10,709,20,28.07,2,42.6,0.0282,0.1,1.4,0.659,1.518
10/21/25,16,Campaign_E,20,1607,45,45.57,2,48.82,0.028,0.0444,1.01,0.933,1.071
10/21/25,16,Campaign_F,25,2306,59,42.26,7,213.5,0.0256,0.1186,0.72,0.198,5.052
10/21/25,16,Campaign_G,5,1914,28,18.31,1,24.48,0.0146,0.0357,0.65,0.748,1.337
10/21/25,16,Campaign_H,10,2030,11,10.53,0,0,0.0054,0,0.96,,0
10/21/25,16,Campaign_I,10,1218,35,40.43,1,28.17,0.0287,0.0286,1.16,1.435,0.697
10/21/25,16,Campaign_J,10,0,4,4.13,0,0,0,0,1.03,,0
10/21/25,17,Campaign_A,20,972,25,27.31,2,67.12,0.0257,0.08,1.09,0.407,2.458
10/21/25,17,Campaign_B,25,1996,23,26.64,3,102.5,0.0115,0.1304,1.16,0.26,3.848
10/21/25,17,Campaign_C,15,362,3,3.6,0,0,0.0083,0,1.2,,0
10/21/25,17,Campaign_D,10,0,58,76.9,0,0,0,0,1.33,,0
10/21/25,17,Campaign_E,20,0,25,26.4,1,23.86,0,0.04,1.06,1.106,0.904
10/21/25,17,Campaign_F,25,1548,31,23.55,3,106.79,0.02,0.0968,0.76,0.221,4.535
10/21/25,17,Campaign_G,5,1349,0,0,0,0,0,0,0,,
10/21/25,17,Campaign_H,10,993,13,7.83,1,21.36,0.0131,0.0769,0.6,0.367,2.728
10/21/25,17,Campaign_I,10,730,6,5.84,0,0,0.0082,0,0.97,,0
10/21/25,17,Campaign_J,10,2257,60,74.98,0,0,0.0266,0,1.25,,0
10/21/25,18,Campaign_A,20,2428,0,0,0,0,0,0,0,,
10/21/25,18,Campaign_B,25,0,54,35.58,9,198.39,0,0.1667,0.66,0.179,5.576
10/21/25,18,Campaign_C,15,38,0,0,0,0,0,0,0,,
10/21/25,18,Campaign_D,10,1823,12,9.28,0,0,0.0066,0,0.77,,0
10/21/25,18,Campaign_E,20,20,0,0,0,0,0,0,0,,
10/21/25,18,Campaign_F,25,1682,19,26.49,1,20.62,0.0113,0.0526,1.39,1.285,0.778
10/21/25,18,Campaign_G,5,792,18,18.78,0,0,0.0227,0,1.04,,0
10/21/25,18,Campaign_H,10,984,26,34.96,3,67.87,0.0264,0.1154,1.34,0.515,1.941
10/21/25,18,Campaign_I,10,692,19,18.28,0,0,0.0275,0,0.96,,0
10/21/25,18,Campaign_J,10,1259,14,9.25,1,31.81,0.0111,0.0714,0.66,0.291,3.439
10/21/25,19,Campaign_A,20,0,7,4.01,0,0,0,0,0.57,,0
10/21/25,19,Campaign_B,25,1567,33,46.46,4,91.67,0.0211,0.1212,1.41,0.507,1.973
10/21/25,19,Campaign_C,15,1695,9,7.61,1,21.45,0.0053,0.1111,0.85,0.355,2.819
10/21/25,19,Campaign_D,10,0,16,9.26,0,0,0,0,0.58,,0
10/21/25,19,Campaign_E,20,0,38,44.47,1,37.92,0,0.0263,1.17,1.173,0.853
10/21/25,19,Campaign_F,25,2056,0,0,0,0,0,0,0,,
10/21/25,19,Campaign_G,5,715,19,15.95,0,0,0.0266,0,0.84,,0
10/21/25,19,Campaign_H,10,899,17,9.19,0,0,0.0189,0,0.54,,0
10/21/25,19,Campaign_I,10,13,0,0,0,0,0,0,0,,
10/21/25,19,Campaign_J,10,1560,41,34.31,0,0,0.0263,0,0.84,,0
10/21/25,20,Campaign_A,20,2356,50,60.96,8,315.97,0.0212,0.16,1.22,0.193,5.183
10/21/25,20,Campaign_B,25,1737,26,18.29,1,39.22,0.015,0.0385,0.7,0.466,2.144
10/21/25,20,Campaign_C,15,1977,46,40.07,1,37.34,0.0233,0.0217,0.87,1.073,0.932
10/21/25,20,Campaign_D,10,607,0,0,0,0,0,0,0,,
10/21/25,20,Campaign_E,20,2382,65,71,4,129.84,0.0273,0.0615,1.09,0.547,1.829
10/21/25,20,Campaign_F,25,2068,0,0,0,0,0,0,0,,
10/21/25,20,Campaign_G,5,477,4,2.72,0,0,0.0084,0,0.68,,0
10/21/25,20,Campaign_H,10,1851,27,31.39,0,0,0.0146,0,1.16,,0
10/21/25,20,Campaign_I,10,0,30,32.65,2,49.48,0,0.0667,1.09,0.66,1.515
10/21/25,20,Campaign_J,10,2334,0,0,0,0,0,0,0,,
10/21/25,21,Campaign_A,20,1993,32,30.38,5,125.25,0.0161,0.1562,0.95,0.243,4.123
10/21/25,21,Campaign_B,25,2003,29,29.97,3,86.78,0.0145,0.1034,1.03,0.345,2.896
10/21/25,21,Campaign_C,15,1390,37,28.48,0,0,0.0266,0,0.77,,0
10/21/25,21,Campaign_D,10,1316,0,0,0,0,0,0,0,,
10/21/25,21,Campaign_E,20,197,0,0,0,0,0,0,0,,
10/21/25,21,Campaign_F,25,1229,27,32.02,0,0,0.022,0,1.19,,0
10/21/25,21,Campaign_G,5,216,4,4.06,0,0,0.0185,0,1.02,,0
10/21/25,21,Campaign_H,10,2431,0,0,0,0,0,0,0,,
10/21/25,21,Campaign_I,10,891,19,22.28,3,70.63,0.0213,0.1579,1.17,0.315,3.17
10/21/25,21,Campaign_J,10,0,69,51.35,11,389.07,0,0.1594,0.74,0.132,7.577
10/21/25,22,Campaign_A,20,986,27,19.32,2,66.05,0.0274,0.0741,0.72,0.293,3.419
10/21/25,22,Campaign_B,25,1009,20,29.87,0,0,0.0198,0,1.49,,0
10/21/25,22,Campaign_C,15,1347,28,26.27,4,105.38,0.0208,0.1429,0.94,0.249,4.011
10/21/25,22,Campaign_D,10,1388,0,0,0,0,0,0,0,,
10/21/25,22,Campaign_E,20,1624,21,22.33,2,63.86,0.0129,0.0952,1.06,0.35,2.86
10/21/25,22,Campaign_F,25,735,10,11.03,1,29.27,0.0136,0.1,1.1,0.377,2.654
10/21/25,22,Campaign_G,5,1026,19,26.87,0,0,0.0185,0,1.41,,0
10/21/25,22,Campaign_H,10,303,5,6.32,0,0,0.0165,0,1.26,,0
10/21/25,22,Campaign_I,10,1004,25,14.28,3,82.8,0.0249,0.12,0.57,0.172,5.798
10/21/25,22,Campaign_J,10,323,9,8.87,0,0,0.0279,0,0.99,,0
10/21/25,23,Campaign_A,20,1179,21,25.54,1,22.44,0.0178,0.0476,1.22,1.138,0.879
10/21/25,23,Campaign_B,25,1286,28,33.85,0,0,0.0218,0,1.21,,0
10/21/25,23,Campaign_C,15,444,5,6.53,0,0,0.0113,0,1.31,,0
10/21/25,23,Campaign_D,10,2188,43,31.31,5,141.1,0.0197,0.1163,0.73,0.222,4.507
10/21/25,23,Campaign_E,20,1660,45,34,6,222.14,0.0271,0.1333,0.76,0.153,6.534
10/21/25,23,Campaign_F,25,145,0,0,0,0,0,0,0,,
10/21/25,23,Campaign_G,5,580,5,3.58,0,0,0.0086,0,0.72,,0
10/21/25,23,Campaign_H,10,2466,49,43.65,5,198.78,0.0199,0.102,0.89,0.22,4.554
10/21/25,23,Campaign_I,10,1826,36,34.05,1,26.82,0.0197,0.0278,0.95,1.27,0.788
10/21/25,23,Campaign_J,10,2349,17,13.16,0,0,0.0072,0,0.77,,0
10/22/25,0,Campaign_A,20,743,15,13,1,28.85,0.0202,0.0667,0.87,0.451,2.219
10/22/25,0,Campaign_B,25,955,23,31.74,2,52.97,0.0241,0.087,1.38,0.599,1.669
10/22/25,0,Campaign_C,15,341,7,7.4,0,0,0.0205,0,1.06,,0
10/22/25,0,Campaign_D,10,1465,42,29.44,1,29.01,0.0287,0.0238,0.7,1.015,0.985
10/22/25,0,Campaign_E,20,656,8,7.06,0,0,0.0122,0,0.88,,0
10/22/25,0,Campaign_F,25,629,18,24.16,2,43.56,0.0286,0.1111,1.34,0.555,1.803
10/22/25,0,Campaign_G,5,1766,47,30.99,0,0,0.0266,0,0.66,,0
10/22/25,0,Campaign_H,10,480,5,4.23,0,0,0.0104,0,0.85,,0
10/22/25,0,Campaign_I,10,1725,27,38.32,4,148.11,0.0157,0.1481,1.42,0.259,3.865
10/22/25,0,Campaign_J,10,489,8,9.02,0,0,0.0164,0,1.13,,0
10/22/25,1,Campaign_A,20,0,24,15.69,4,125.84,0,0.1667,0.65,0.125,8.02
10/22/25,1,Campaign_B,25,265,0,0,0,0,0,0,0,,
10/22/25,1,Campaign_C,15,163,0,0,0,0,0,0,0,,
10/22/25,1,Campaign_D,10,237,2,1.29,0,0,0.0084,0,0.65,,0
10/22/25,1,Campaign_E,20,536,0,0,0,0,0,0,0,,
10/22/25,1,Campaign_F,25,127,2,1.88,0,0,0.0157,0,0.94,,0
10/22/25,1,Campaign_G,5,389,0,0,0,0,0,0,0,,
10/22/25,1,Campaign_H,10,2334,15,8.37,0,0,0.0064,0,0.56,,0
10/22/25,1,Campaign_I,10,456,7,8.98,0,0,0.0154,0,1.28,,0
10/22/25,1,Campaign_J,10,608,10,11.15,1,30.54,0.0164,0.1,1.12,0.365,2.739
10/22/25,2,Campaign_A,20,1508,40,34.71,6,208.03,0.0265,0.15,0.87,0.167,5.993
10/22/25,2,Campaign_B,25,509,0,0,0,0,0,0,0,,
10/22/25,2,Campaign_C,15,741,8,8.28,0,0,0.0108,0,1.04,,0
10/22/25,2,Campaign_D,10,2385,0,0,0,0,0,0,0,,
10/22/25,2,Campaign_E,20,496,9,5.38,0,0,0.0181,0,0.6,,0
10/22/25,2,Campaign_F,25,593,10,9.59,1,39.11,0.0169,0.1,0.96,0.245,4.078
10/22/25,2,Campaign_G,5,16,0,0,0,0,0,0,0,,
10/22/25,2,Campaign_H,10,2076,24,30.75,2,55.45,0.0116,0.0833,1.28,0.555,1.803
10/22/25,2,Campaign_I,10,2247,23,31.8,0,0,0.0102,0,1.38,,0
10/22/25,2,Campaign_J,10,0,0,0,0,0,0,0,0,,
10/22/25,3,Campaign_A,20,86,0,0,0,0,0,0,0,,
10/22/25,3,Campaign_B,25,1668,29,43.26,4,142.71,0.0174,0.1379,1.49,0.303,3.299
10/22/25,3,Campaign_C,15,562,0,0,0,0,0,0,0,,
10/22/25,3,Campaign_D,10,1343,0,0,0,0,0,0,0,,
10/22/25,3,Campaign_E,20,1246,30,35.02,0,0,0.0241,0,1.17,,0
10/22/25,3,Campaign_F,25,1827,37,38.12,0,0,0.0203,0,1.03,,0
10/22/25,3,Campaign_G,5,369,0,0,0,0,0,0,0,,
10/22/25,3,Campaign_H,10,769,15,19.68,0,0,0.0195,0,1.31,,0
10/22/25,3,Campaign_I,10,935,0,0,0,0,0,0,0,,
10/22/25,3,Campaign_J,10,845,13,9.63,0,0,0.0154,0,0.74,,0
10/22/25,4,Campaign_A,20,685,3,2.45,0,0,0.0044,0,0.82,,0
10/22/25,4,Campaign_B,25,2196,52,63.88,6,141.29,0.0237,0.1154,1.23,0.452,2.212
10/22/25,4,Campaign_C,15,597,14,17.19,0,0,0.0235,0,1.23,,0
10/22/25,4,Campaign_D,10,212,4,4.02,0,0,0.0189,0,1.01,,0
10/22/25,4,Campaign_E,20,1724,40,26.06,0,0,0.0232,0,0.65,,0
10/22/25,4,Campaign_F,25,2155,45,43.27,0,0,0.0209,0,0.96,,0
10/22/25,4,Campaign_G,5,2176,51,35.39,6,157.31,0.0234,0.1176,0.69,0.225,4.445
10/22/25,4,Campaign_H,10,1428,33,28.23,3,60.31,0.0231,0.0909,0.86,0.468,2.136
10/22/25,4,Campaign_I,10,313,1,1.46,0,0,0.0032,0,1.46,,0
10/22/25,4,Campaign_J,10,1014,16,14.17,2,48.69,0.0158,0.125,0.89,0.291,3.436
10/22/25,5,Campaign_A,20,1828,0,0,0,0,0,0,0,,
10/22/25,5,Campaign_B,25,2249,46,27.28,4,131.39,0.0205,0.087,0.59,0.208,4.816
10/22/25,5,Campaign_C,15,335,3,2.96,0,0,0.009,0,0.99,,0
10/22/25,5,Campaign_D,10,1901,16,23.71,2,60.81,0.0084,0.125,1.48,0.39,2.565
10/22/25,5,Campaign_E,20,739,5,4.36,0,0,0.0068,0,0.87,,0
10/22/25,5,Campaign_F,25,475,11,12.57,1,35.71,0.0232,0.0909,1.14,0.352,2.841
10/22/25,5,Campaign_G,5,2010,44,54.56,2,62.62,0.0219,0.0455,1.24,0.871,1.148
10/22/25,5,Campaign_H,10,0,0,0,0,0,0,0,0,,
10/22/25,5,Campaign_I,10,2301,45,57.72,0,0,0.0196,0,1.28,,0
10/22/25,5,Campaign_J,10,546,8,5.49,0,0,0.0147,0,0.69,,0
10/22/25,6,Campaign_A,20,1625,11,10.31,1,23.18,0.0068,0.0909,0.94,0.445,2.248
10/22/25,6,Campaign_B,25,1851,15,14.58,0,0,0.0081,0,0.97,,0
10/22/25,6,Campaign_C,15,1431,9,6.72,0,0,0.0063,0,0.75,,0
10/22/25,6,Campaign_D,10,2014,32,31.6,0,0,0.0159,0,0.99,,0
